Price,Close,High,Low,Open,Volume,SMA_20,RSI,MACD,MACD_Signal
Ticker,SPY,SPY,SPY,SPY,SPY,,,,
Date,,,,,,,,,
2018-01-02,239.27403259277344,239.30965043060107,238.05438653956327,238.4461012503176,86655700,236.60894317626952,69.97155377809591,1.9518984922336529,2.069570982203284
2018-01-03,240.7874298095703,240.9387852135431,239.44313517870106,239.44313517870106,90070400,236.95050125122071,74.13572434621798,2.060837407366762,2.06782426723598
2018-01-04,241.80233764648438,242.29199458257403,240.84978469546402,241.4373567177029,80636400,237.3848777770996,76.4902430622701,2.203664391599631,2.09499229210871
2018-01-05,243.41366577148438,243.53828741133856,242.1049891265888,242.60353002288795,83524000,237.8976043701172,79.65664769279816,2.4189918861798105,2.15979221092293
2018-01-08,243.85891723632812,244.0191567839144,243.0220744854376,243.31584698934577,57319200,238.39583587646484,80.44058301146482,2.5956475399702867,2.2469632767324015
2018-01-09,244.41082763671875,245.04290162866752,244.0012904196701,244.28617878758652,57254000,238.85789108276367,81.39750558224863,2.7484999782706723,2.347270617040056
2018-01-10,244.03688049316406,244.30397349586673,242.9685899876945,243.6451658239578,69574300,239.26582107543945,78.59191004605482,2.8071036836837493,2.4392372303687946
2018-01-11,245.81739807128906,245.81739807128906,244.42860136104602,244.59775211651325,62361500,239.74196090698243,81.8072886874483,2.963064072405558,2.5440025987761477
2018-01-12,247.41990661621094,247.58903022509952,245.78181201792546,246.0845229014976,90816100,240.29955520629883,84.11917295368866,3.1793235876952792,2.671066796559974
2018-01-16,246.5740509033203,249.3516435359263,245.87074149684636,248.69286320262464,106555100,240.86312713623047,78.45216027229286,3.245050403629591,2.7858635179738975
2018-01-17,248.92440795898438,249.31612267936478,246.57414680515248,247.51781576740058,113258800,241.44624557495118,82.06731403263584,3.4470580113960523,2.9181024166583285
2018-01-18,248.50599670410156,249.23598575230417,248.00742850195167,248.8086803911024,100728000,241.9332160949707,79.50991484209953,3.532665831776285,3.04101509968192
2018-01-19,249.63658142089844,249.63658142089844,248.5059665652417,249.09351136563657,140920100,242.5225601196289,81.21348118458508,3.6496682800605527,3.162745735757647
2018-01-22,251.66639709472656,251.66639709472656,249.369522073197,249.4229624125236,91322400,243.21963348388672,83.8152022799791,3.8616678214426656,3.3025301528946507
2018-01-23,252.20054626464844,252.49431869316737,251.38149906197017,251.71088932585286,97084700,243.91893157958984,84.42641673309136,4.026366907915957,3.447297503898912
2018-01-24,252.10255432128906,253.45576011392114,250.9096151719821,252.85036570584975,134816100,244.61644287109374,83.80117359196306,4.101703109438546,3.578178625006839
2018-01-25,252.2094268798828,253.07297598855803,251.40820219012534,252.97506090321383,84587300,245.33354263305665,83.94085975544205,4.122509589841883,3.687044817973848
2018-01-26,255.12945556640625,255.17398465055763,252.79699007979025,253.05517182883875,107743100,246.19085998535155,87.19093169587485,4.324767558429414,3.8145893660649612
2018-01-29,253.43797302246094,254.99592041672838,253.27773352519202,254.55079258979484,90118300,246.93912048339843,77.41694390487004,4.299013598023066,3.9114742124565827
