Price,Close,High,Low,Open,Volume,SMA_20,RSI,MACD,MACD_Signal
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2015-08-19,25.908952713012695,26.24911770342962,25.834611336808948,26.154502343924918,193146000,,,0,0
2015-08-20,25.377302169799805,25.760270085103105,25.14752004564438,25.699446416189495,274006400,,,0,0
2015-08-21,23.825151443481445,25.20834369354234,23.800370986337303,24.877188237813044,513102000,,,0,0
2015-08-24,23.230426788330078,24.50999261195931,20.725360818487818,21.37190258449829,648825200,,,0,0
2015-08-25,23.370100021362305,25.030382505380842,23.316034336026814,25.030382505380842,414406400,,,0,0
2015-08-26,24.710487365722656,24.755541809634824,23.66520845476525,24.12476928256331,387098400,,,0,0
2015-08-27,25.43812370300293,25.510211835785952,24.784824032878664,25.282684687177554,338464400,,,0,0
2015-08-28,25.52147674560547,25.52598150204368,25.127244386669297,25.26916741714831,212657600,,,0,0
2015-08-31,25.402084350585938,25.800821519578776,25.230874364727406,25.237632359651823,224917200,,,0,0
2015-09-01,24.26668930053711,25.20383495662123,24.18558994238257,24.814109108721976,307383600,,,0,0
2015-09-02,25.307462692260742,25.307462692260742,24.584328147835954,24.832132708397356,247555200,,,0,0
2015-09-03,24.863676071166992,25.40658953677416,24.78933468830887,25.34125938687311,212935600,,,0,0
2015-09-04,24.615869522094727,24.88169485787396,24.444661265551147,24.548287858317043,199985200,,,0,0
2015-09-08,25.300703048706055,25.357021950848996,24.852405068888853,25.174549257895144,219374400,,,0,0
2015-09-09,24.814111709594727,25.685927323059925,24.728505867727485,25.627356895033266,340043200,,,0,0
2015-09-10,25.359277725219727,25.519223217061295,24.757792202650027,24.841143086181784,251571200,,,0,0
2015-09-11,25.72873306274414,25.72873306274414,25.176808380219292,25.183566375061464,199662000,,,0,0
2015-09-14,25.97653579711914,26.332471752308543,25.875162437635133,26.26263684771809,233453600,,,0,0
